,1,2,3,4,5,6,7,8,9,10,11,12
2005,0,0,0,0,0,0,7,4,4,40,594,"1,285"
2006,789,472,476,994,"1,667","1,702",879,477,358,631,"1,007","1,575"
2007,"1,492",934,"1,225","1,949","3,296","2,646","1,501",595,430,724,"2,051","3,441"
2008,"2,389","1,100","1,253","1,842","2,483","2,686","1,702",821,794,"1,164","2,410","4,205"
2009,"2,485","1,724","2,054","2,841","3,884","4,239","2,233",972,835,"1,130","1,258","1,542"
2010,"1,138","1,040","1,415","1,755","2,358","2,831","2,012","1,028",859,"1,441","3,500","5,023"
2011,"3,498","2,367","2,336","3,157","4,890","4,406","2,449","1,403","1,123","1,768","3,709","5,143"
2012,"3,258","1,650","1,432","1,743","2,800","2,889","1,885","1,075",961,"1,700","3,387","4,983"
2013,"3,560","2,000","1,868","2,816","4,627","3,712","2,298","1,330","1,315","2,015","4,449","7,371"
2014,"4,801","2,322","1,947","3,113","5,219","3,588","2,560","1,664","1,774","2,549","5,940","8,973"
2015,"5,971","3,176","2,497","3,556","4,784","3,780","2,569","1,693","1,555","2,845","5,705","8,199"
2016,"6,047","3,109","2,902","4,132","5,691","4,751","3,376","2,360","2,291","3,665","7,395","8,341"
2017,"5,914","4,130","3,948","6,231","9,288","7,763","5,206","3,601","4,333","6,375","11,065","12,238"
2018,"7,128","3,758","4,283","7,323","12,875","10,716","8,820","5,770","4,441","6,297","11,299","13,757"
2019,"9,801","5,562","4,679","6,889","9,256","7,998","7,217","4,263","3,440","4,891","7,952","10,920"
2020,"7,882","4,017","2,127","1,624","2,299","2,263","2,102","2,005","1,342","1,767","2,208","1,794"
2021,"1,343","1,336","1,728","1,947","2,335","2,039","2,118","1,818","1,325","1,398","1,853","1,689"
2022,"1,401","1,062","1,118","1,256","1,910","1,982","1,887","1,490","1,190","1,365","2,006","1,880"
2023,"1,477","1,228","1,675","2,455","3,304","2,579","2,231","1,795","1,586","2,088","2,836","3,710"
2024,"2,736","1,672","1,810","2,986","4,210","3,194","2,661","1,990","1,478","1,745","3,164","4,227"
2025,"2,766","1,743","1,963","2,502",-,-,-,-,-,-,-,-
