,1,2,3,4,5,6,7,8,9,10,11,12
2001,3,0,3,6,4,7,4,2,3,5,6,6
2002,8,8,5,5,5,1,5,1,2,3,6,5
2003,1,8,8,8,3,13,9,4,7,10,24,12
2004,8,4,6,5,5,6,3,3,2,11,16,11
2005,9,10,6,7,10,7,9,7,4,3,6,9
2006,3,4,10,12,9,10,11,2,4,6,15,22
2007,13,21,20,17,24,8,4,6,3,7,8,15
2008,9,11,12,7,14,24,9,3,15,20,13,14
2009,12,15,8,15,20,19,9,7,8,3,6,5
2010,3,18,12,10,12,8,7,3,4,2,8,19
2011,8,15,34,37,60,52,39,17,18,30,32,64
2012,68,45,38,60,56,47,55,40,40,104,163,252
2013,237,262,205,330,427,329,219,129,159,285,388,708
2014,560,514,530,556,512,444,426,287,322,469,523,666
2015,594,473,585,646,662,575,530,298,351,440,771,"1,077"
2016,850,850,928,912,"1,141","1,180",971,596,709,966,"1,273","1,535"
2017,"1,318","1,490","1,641","2,956","3,015","2,743","1,627",958,"1,431","1,491","1,848","2,320"
2018,"1,862","1,671","1,754","2,074","1,912","1,479","1,229",666,694,810,842,784
2019,678,629,702,752,788,698,742,464,498,504,531,576
2020,562,456,224,158,170,141,137,133,93,91,68,67
2021,67,59,74,58,62,41,85,69,49,41,33,40
2022,38,31,30,24,41,45,56,61,47,45,43,44
2023,35,36,38,53,56,62,95,67,56,76,88,153
2024,163,150,226,385,785,981,969,432,465,463,665,954
2025,597,519,675,773,-,-,-,-,-,-,-,-
