,1,2,3,4,5,6,7,8,9,10,11,12
2001,0,1,2,0,1,0,0,3,1,0,1,0
2002,2,0,2,2,0,4,1,0,2,5,2,1
2003,0,0,1,0,0,0,1,0,1,2,0,0
2004,0,1,0,0,0,0,0,2,1,1,1,0
2005,1,0,1,5,1,0,0,0,2,1,0,0
2006,0,0,0,0,0,4,1,1,2,2,5,2
2007,0,1,4,2,0,1,1,1,3,0,0,1
2008,2,0,0,0,1,1,0,1,1,2,0,1
2009,2,5,2,2,1,4,7,12,16,6,7,2
2010,3,4,3,1,4,3,1,1,1,2,2,2
2011,2,2,3,1,5,7,5,20,12,7,20,13
2012,7,13,6,5,164,12,8,4,4,3,4,0
2013,2,1,3,2,2,3,2,3,4,3,7,4
2014,4,1,1,10,5,3,7,11,16,10,11,9
2015,11,16,6,9,19,19,58,20,15,9,14,9
2016,10,14,8,6,9,8,4,18,8,14,12,18
2017,18,8,10,11,12,30,31,39,37,42,49,31
2018,51,44,36,30,42,67,169,158,111,114,85,73
2019,58,38,30,27,43,36,46,31,30,43,44,70
2020,47,37,14,6,2,6,1,2,1,1,1,5
2021,3,2,0,1,0,1,3,1,1,2,5,2
2022,1,2,2,2,6,4,2,4,1,1,3,3
2023,3,1,2,5,2,1,5,8,10,27,120,108
2024,83,76,58,206,878,"4,187","10,566","3,818","3,622","6,609","9,678","8,213"
2025,"2,279",899,382,272,-,-,-,-,-,-,-,-
